Empresa Factura	Empresa (Sistema)	Nº Factura	Fecha Contable	Fecha Vencimiento	Fecha de Carga	Trimestre	Proveedor	CIF	Concepto	Incidencias	Tipo Documento	Base 21%	IVA 21%	Base 15%	IVA 15%	Base 10%	IVA 10%	Base 5%	IVA 5%	Base 4%	IVA 4%	Base 0%	IVA 0%	Retención	R. Equiv.	Total Base	IVA	Total
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	F2191	18/10/2027		22/07/2026 09:44	Q3 2027	Quesos La Safor S.A.	B10000341				0,00	0,00	0,00	0,00	751,50	75,15	0,00	0,00	1982,84	79,31	1478,76	0,00	0,00	0,00	4213,10	154,46	4367,56
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	NC-2026/004	10/12/2026		22/07/2026 09:44	Q4 2026	Ultramarinos Campos S.A.	B10000868		REVISION fiscal: [TIPO_INDETERMINADO] No se pudo clasificar emitida/recibida res	(SIN CONFIRMAR)	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	-178,20	-7,13	0,00	0,00	0,00	0,00	-178,20	-7,13	-185,33
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	FV-3057	21/11/2026	21/12/2026	22/07/2026 09:37	Q4 2026	Lácteos Maestrat S.L.	B10000426			FACTURA RECIBIDA	0,00	0,00	0,00	0,00	714,20	71,42	0,00	0,00	1555,75	62,23	0,00	133,65	0,00	0,00	3912,28	267,30	4179,58
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	F1644	17/11/2026	17/12/2026	22/07/2026 09:37	Q4 2026	Conservas Vega Baja S.L.	B10000001			FACTURA RECIBIDA	832,38	174,80	0,00	0,00	863,00	86,30	0,00	0,00	1986,00	79,44	0,00	340,54	0,00	0,00	3340,78	681,08	4021,86
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	A6128	11/11/2026	11/12/2026	22/07/2026 09:36	Q4 2026	Transportes Frigoríficos López (autónomo)	B10000256			FACTURA RECIBIDA	0,00	0,00	0,00	0,00	1597,70	159,77	0,00	0,00	1221,25	48,85	0,00	208,62	-564,25	0,00	3553,03	417,24	3406,02
Supermercados Vall d'Or S.L.	ESPAI DE DUES S.L.	2026/101	08/11/2026		22/07/2026 09:45	Q4 2026	Ferrum Inversiones Sostenibles S.L.	B01645415		REVISION fiscal: [TIPO_INDETERMINADO] No se pudo clasificar emitida/recibida res	(SIN CONFIRMAR)	923,04	193,84	0,00	0,00	3113,81	311,38	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	4036,85	505,22	4542,07
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	A6076	27/10/2026	26/11/2026	22/07/2026 09:41	Q4 2026	Cárnicas del Mediterraneo S.L.	B10000749			FACTURA RECIBIDA	837,90	175,96	0,00	0,00	0,00	0,00	0,00	0,00	1716,75	68,67	0,00	244,63	0,00	0,00	3229,02	489,26	3718,28
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	A1930	21/10/2026	20/11/2026	22/07/2026 09:36	Q3 2026	Frutas y Verduras Maestrat S.A.	B10000511			FACTURA RECIBIDA	834,52	175,25	0,00	0,00	1600,50	160,05	0,00	0,00	1350,75	54,03	0,00	389,33	0,00	0,00	4235,38	778,66	5014,04
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	2026/6823	11/10/2026	10/11/2026	22/07/2026 09:35	Q3 2026	Frutas y Verduras Guadalquivir S.L.	B10000545			FACTURA RECIBIDA	1210,38	254,18	0,00	0,00	919,20	91,92	0,00	0,00	1608,25	64,33	0,00	410,43	0,00	0,00	3327,53	820,86	4148,39
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	FV-1058	05/10/2026	04/11/2026	22/07/2026 09:39	Q3 2026	Panificadora Guadalquivir S.A.	B10000035			FACTURA RECIBIDA	1189,95	249,89	0,00	0,00	0,00	0,00	0,00	0,00	709,75	28,39	0,00	278,28	0,00	0,00	3132,58	556,56	3689,14
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	F8908	04/10/2026	03/11/2026	22/07/2026 09:32	Q3 2026	Lácteos Costa Azahar S.L.	B10000273			FACTURA RECIBIDA	1555,67	326,69	0,00	0,00	0,00	0,00	0,00	0,00	629,00	25,16	0,00	351,85	0,00	0,00	3366,84	703,70	4070,54
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	FRA463	20/09/2026	20/10/2026	22/07/2026 09:41	Q3 2026	Distribuciones Alimentarias Maestrat S.L.	B10000307			FACTURA RECIBIDA	0,00	0,00	0,00	0,00	909,50	90,95	0,00	0,00	1812,25	72,49	0,00	163,44	0,00	0,00	3643,03	326,88	3969,91
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	2026/9822	15/09/2026	15/10/2026	22/07/2026 09:34	Q3 2026	Embutidos García Hermanos S.A.	B10000171			FACTURA RECIBIDA	650,57	136,62	0,00	0,00	1679,10	167,91	0,00	0,00	1009,00	40,36	0,00	344,89	0,00	0,00	3496,21	689,78	4185,99
Catering Eventos Mediterraneo S.L.	ESPAI DE DUES S.L.	2026/103	10/09/2026	10/10/2026	22/07/2026 09:42	Q3 2026	Ferrum Inversiones Sostenibles S.L.	B01645415			FACTURA RECIBIDA	701,14	147,24	0,00	0,00	0,00	0,00	0,00	0,00	721,50	28,86	0,00	176,10	0,00	0,00	3694,85	352,20	4047,05
Restaurante La Pergola S.L.	ESPAI DE DUES S.L.	2026/100	23/08/2026	22/09/2026	22/07/2026 09:42	Q3 2026	Ferrum Inversiones Sostenibles S.L.	B01645415			FACTURA RECIBIDA	712,76	149,68	0,00	0,00	0,00	0,00	0,00	0,00	1906,50	76,26	0,00	225,94	0,00	0,00	3493,46	451,88	3945,34
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	FRA6236	22/08/2026	21/09/2026	22/07/2026 09:37	Q3 2026	Precocinados San Blas S.L.	B10000358			FACTURA RECIBIDA	1526,48	320,56	0,00	0,00	877,90	87,79	0,00	0,00	932,75	37,31	0,00	445,66	0,00	0,00	2891,43	891,32	3782,75
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	FRA7421	15/08/2026		22/07/2026 09:42	Q3 2026	Precocinados Campos S.A.	B10000052		REVISION fiscal: [TIPO_INDETERMINADO] No se pudo clasificar emitida/recibida res	(SIN CONFIRMAR)	1128,50	236,98	0,00	0,00	3032,78	303,28	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	4161,28	540,26	4701,54
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	2026/8020	12/08/2026		22/07/2026 09:43	Q3 2026	Congelados Campos S.L.	B10000120		REVISION fiscal: [TIPO_INDETERMINADO] No se pudo clasificar emitida/recibida res	(SIN CONFIRMAR)	0,00	0,00	0,00	0,00	1254,30	125,43	0,00	0,00	1808,40	72,34	1029,44	0,00	0,00	0,00	4092,14	197,77	4289,91
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	FV-7746	05/08/2026	04/09/2026	22/07/2026 09:35	Q3 2026	Alimentación Integral Benicàssim S.A.	B10000324			FACTURA RECIBIDA	956,81	200,93	0,00	0,00	1041,00	104,10	0,00	0,00	1526,25	61,05	0,00	366,08	0,00	0,00	3158,00	732,16	3890,16
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	FV-8421	05/08/2026	04/09/2026	22/07/2026 09:38	Q3 2026	Cárnicas del Mediterráneo S.A.	B10000222			FACTURA RECIBIDA	1030,33	216,37	0,00	0,00	0,00	0,00	0,00	0,00	1231,25	49,25	0,00	265,62	0,00	0,00	3488,23	531,24	4019,47
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	A5240	02/08/2026	01/09/2026	22/07/2026 09:31	Q3 2026	Gran Consumo Els Ports S.L.	B10000477			FACTURA RECIBIDA	0,00	0,00	0,00	0,00	1395,50	139,55	0,00	0,00	577,00	23,08	0,00	162,63	0,00	0,00	3080,53	325,26	3405,79
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	FRA1650	28/07/2026		22/07/2026 09:43	Q3 2026	Lácteos Els Ports S.L.	B10000239		REVISION fiscal: [TIPO_INDETERMINADO] No se pudo clasificar emitida/recibida res	(SIN CONFIRMAR)	1761,03	369,82	0,00	0,00	2886,58	288,66	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	4647,61	658,48	5306,09
Cafetería Central Gandia S.L.	ESPAI DE DUES S.L.	2026/104	08/07/2026	07/08/2026	22/07/2026 09:42	Q2 2026	Ferrum Inversiones Sostenibles S.L.	B01645415			FACTURA RECIBIDA	1277,38	268,25	0,00	0,00	1277,40	127,74	0,00	0,00	1703,00	68,12	0,00	464,11	0,00	0,00	3793,75	928,22	4721,97
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	A7609	05/07/2026	04/08/2026	22/07/2026 09:34	Q2 2026	Mayorista Hostelería La Marina S.L.	B10000528			FACTURA RECIBIDA	0,00	0,00	0,00	0,00	1843,30	184,33	0,00	0,00	1139,75	45,59	0,00	229,92	0,00	0,00	3354,33	459,84	3814,17
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	A3620	18/06/2026	18/07/2026	22/07/2026 09:38	Q2 2026	Pescados y Mariscos Serrano S.A.	B10000205			FACTURA RECIBIDA	0,00	0,00	0,00	0,00	1969,40	196,94	0,00	0,00	705,00	28,20	0,00	225,14	0,00	0,00	3986,55	450,28	4436,83
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	2026/9609	17/06/2026	17/07/2026	22/07/2026 09:40	Q2 2026	Bodegas Levante S.A.	B10000375			FACTURA RECIBIDA	0,00	0,00	0,00	0,00	1635,60	163,56	0,00	0,00	1457,25	58,29	0,00	221,85	0,00	0,00	4316,84	443,70	4760,54
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	FV-7999	15/06/2026		22/07/2026 09:42	Q2 2026	Mayorista Hostelería Ribera S.L.	B10000596			FACTURA RECIBIDA	1524,95	320,24	0,00	0,00	1688,50	168,85	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	3213,45	489,09	3702,54
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	R-2026/015	14/06/2026		22/07/2026 09:40	Q2 2026	Distribuciones Alimentarias Camp de Túria S.A.	B10000800		REVISION fiscal: [TIPO_INDETERMINADO] No se pudo clasificar emitida/recibida res	(SIN CONFIRMAR)	0,00	0,00	0,00	0,00	456,78	45,68	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	456,78	45,68	502,46
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	F5619	09/06/2026	09/07/2026	22/07/2026 09:35	Q2 2026	Alimentación Integral San Blas S.L.	B10000647			FACTURA RECIBIDA	1534,10	322,16	0,00	0,00	730,90	73,09	0,00	0,00	1879,25	75,17	0,00	470,42	0,00	0,00	3673,67	940,84	4614,51
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	AB-2026/007	28/05/2026	27/06/2026	22/07/2026 09:43	Q2 2026	Distribuciones Alimentarias Levante S.A.	B10000817		REVISION fiscal: [TIPO_INDETERMINADO] No se pudo clasificar emitida/recibida res	(SIN CONFIRMAR)	-289,50	-60,80	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	-289,50	-60,80	-350,30
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	F2734	26/05/2026	25/06/2026	22/07/2026 09:38	Q2 2026	Conservas San Blas S.L.	B10000630			FACTURA RECIBIDA	2192,38	460,40	0,00	0,00	0,00	0,00	0,00	0,00	2060,00	82,40	0,00	542,80	0,00	0,00	3902,95	1085,60	4988,55
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	FV-8298	18/05/2026		22/07/2026 09:43	Q2 2026	Mayorista Hostelería Almassora S.L.	B10000766		REVISION fiscal: [TIPO_INDETERMINADO] No se pudo clasificar emitida/recibida res	(SIN CONFIRMAR)	1202,76	252,58	0,00	0,00	3113,93	311,39	0,00	0,00	15.966,58	638,66	1531,08	0,00	0,00	0,00	21.814,35	1202,63	23.016,98
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	2026/2691	13/05/2026	12/06/2026	22/07/2026 09:39	Q2 2026	Alimentación Integral Maestrat S.L.	B10000069			FACTURA RECIBIDA	0,00	0,00	0,00	0,00	1660,30	166,03	0,00	0,00	781,50	31,26	0,00	197,29	0,00	0,00	3889,00	394,58	4283,58
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	F2189	12/05/2026	11/06/2026	22/07/2026 09:39	Q2 2026	Salazones Ribera S.A.	B10000732			FACTURA RECIBIDA	0,00	0,00	0,00	0,00	1176,70	117,67	0,00	0,00	1651,25	66,05	0,00	183,72	0,00	0,00	3992,55	367,44	4359,99
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	FV-8248	08/05/2026	07/06/2026	22/07/2026 09:32	Q2 2026	Cárnicas Alzira S.A.	B10000137			FACTURA RECIBIDA	1867,38	392,15	0,00	0,00	979,60	97,96	0,00	0,00	1029,25	41,17	0,00	531,28	0,00	0,00	3345,07	1062,56	4407,63
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	A1645	26/04/2026	26/05/2026	22/07/2026 09:37	Q2 2026	Horno Artesano Benicàssim S.L.	B10000613			FACTURA RECIBIDA	0,00	0,00	0,00	0,00	2528,10	252,81	0,00	0,00	953,25	38,13	0,00	290,94	0,00	0,00	4257,00	581,88	4838,88
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	A1834	14/04/2026	14/05/2026	22/07/2026 09:43	Q1 2026	Cárnicas Alzira S.L.	B10000409			FACTURA RECIBIDA	1577,00	331,17	0,00	0,00	3026,04	302,60	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	4603,04	633,77	5236,81
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	R-2026/014	08/04/2026		22/07/2026 09:43	Q1 2026	Bebidas y Distribución Xúquer S.A.	B10000783		REVISION fiscal: [TIPO_INDETERMINADO] No se pudo clasificar emitida/recibida res	(SIN CONFIRMAR)	0,00	0,00	0,00	0,00	-456,78	-45,68	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	-456,78	-45,68	-502,46
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	A8353	10/03/2026	09/04/2026	22/07/2026 09:40	Q1 2026	Frutas y Verduras Costa Azahar S.L.	B10000443			FACTURA RECIBIDA	1463,29	307,29	0,00	0,00	0,00	0,00	0,00	0,00	911,75	36,47	0,00	343,76	0,00	0,00	3536,72	687,52	4224,24
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	FRA8102	13/02/2026	15/03/2026	22/07/2026 09:39	Q1 2026	Horno Artesano Serrano S.L.	B10000460			FACTURA RECIBIDA	1156,52	242,87	0,00	0,00	1706,80	170,68	0,00	0,00	1460,75	58,43	0,00	471,98	0,00	0,00	3852,12	943,96	4796,08
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	F449	10/02/2026	12/03/2026	22/07/2026 09:31	Q1 2026	Horno Artesano El Palmar S.A.	B10000290			FACTURA RECIBIDA	3889,29	816,75	0,00	0,00	1240,10	124,01	0,00	0,00	1471,25	58,85	0,00	324,61	0,00	0,00	2386,76	1324,22	3710,98
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	FRA7847	26/01/2026	25/02/2026	22/07/2026 09:38	Q1 2026	Horno Artesano La Safor S.L.	B10000681			FACTURA RECIBIDA	1078,81	226,55	0,00	0,00	1333,60	133,36	0,00	0,00	874,00	34,96	0,00	394,87	0,00	0,00	2891,49	789,74	3681,23
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	A2112	19/01/2026	18/02/2026	22/07/2026 09:41	Q1 2026	Cárnicas Sagunt S.L.	B10000562			FACTURA RECIBIDA	0,00	0,00	0,00	0,00	1148,70	114,87	0,00	0,00	987,25	39,49	0,00	154,36	0,00	0,00	3977,32	308,72	4286,04
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	2026/2786	19/01/2026		22/07/2026 09:44	Q1 2026	Comercial de Alimentación Ribera S.A.	B10000018		REVISION fiscal: [TIPO_INDETERMINADO] No se pudo clasificar emitida/recibida res	(SIN CONFIRMAR)	0,00	0,00	0,00	0,00	669,00	66,90	0,00	0,00	1721,79	68,87	1572,12	0,00	0,00	0,00	3962,91	135,77	4098,68
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	2026/716	01/09/2025	01/10/2025	22/07/2026 09:31	Q3 2025	Congelados Alzira S.A.	B10000188			FACTURA RECIBIDA	1042,90	219,01	0,00	0,00	949,10	94,91	0,00	0,00	2659,25	106,37	0,00	420,29	0,00	0,00	4231,04	840,58	5071,62
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	A8601	19/08/2025	18/09/2025	22/07/2026 09:33	Q3 2025	Mayorista Hostelería Levante S.L.	B10000494			FACTURA RECIBIDA	1904,38	399,92	0,00	0,00	794,40	79,44	0,00	0,00	1144,25	45,77	0,00	525,13	0,00	0,00	3318,02	1050,26	4368,28
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	FRA5472	15/07/2025	14/08/2025	22/07/2026 09:34	Q2 2025	Bebidas y Distribución Martinez e Hijos S.L.	B10000154			FACTURA RECIBIDA	0,00	0,00	0,00	0,00	1291,50	129,15	0,00	0,00	2110,50	84,42	0,00	213,57	0,00	0,00	4421,77	427,14	4848,91
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	A3472	12/06/2025	12/07/2025	22/07/2026 09:36	Q2 2025	Frutas y Verduras Martínez e Hijos S.L.	B10000715			FACTURA RECIBIDA	1767,48	371,17	0,00	0,00	1014,00	101,40	0,00	0,00	1321,00	52,84	0,00	525,41	0,00	0,00	3577,18	1050,82	4628,00
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	2026/8340	07/06/2025	07/07/2025	22/07/2026 09:34	Q2 2025	Mayorista Hostelería Martínez e Hijos S.A.	B10000698			FACTURA RECIBIDA	0,00	0,00	0,00	0,00	1659,70	165,97	0,00	0,00	868,50	34,74	0,00	200,71	0,00	0,00	3174,83	401,42	3576,25
Hotel Marina Azul S.A.	ESPAI DE DUES S.L.	2026/102	24/05/2025	23/06/2025	22/07/2026 09:42	Q2 2025	Ferrum Inversiones Sostenibles S.L.	B01645415			FACTURA RECIBIDA	0,00	0,00	0,00	0,00	722,30	72,23	0,00	0,00	1530,00	61,20	0,00	133,43	0,00	0,00	3981,51	266,86	4248,37
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	2026/2590	05/05/2025	04/06/2025	22/07/2026 09:35	Q2 2025	Gran Consumo Alzira S.A.	B10000579			FACTURA RECIBIDA	1714,95	360,14	0,00	0,00	0,00	0,00	0,00	0,00	1338,00	53,52	0,00	413,66	0,00	0,00	3334,61	827,32	4161,93
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	AB-2026/008	16/04/2025	16/05/2025	22/07/2026 09:39	Q1 2025	Cárnicas Els Ports S.L.	B10000834			FACTURA RECIBIDA	289,52	60,80	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	60,80	0,00	0,00	228,70	121,60	350,30
Ferrum Inversiones Sostenibles S.L.	ESPAI DE DUES S.L.	FRA930	11/04/2025	11/05/2025	22/07/2026 09:36	Q1 2025	Comercial de Alimentación Peris S.A.	B10000664			FACTURA RECIBIDA	0,00	0,00	0,00	0,00	647,10	64,71	0,00	0,00	1909,75	76,39	0,00	141,10	0,00	0,00	3691,30	282,20	3973,50
