Empresa Factura	Empresa (Sistema)	Nº Factura	Fecha Contable	Fecha Vencimiento	Fecha de Carga	Trimestre	Proveedor	CIF	Concepto	Incidencias	Tipo Documento	Base 21%	IVA 21%	Base 10%	IVA 10%	Base 4%	IVA 4%	Base 0%	IVA 0%	Retención	R. Equiv.	Total Base	IVA	Total
Espais De Dunes Sl		DGFCJ2500554068	2025-09-23T00:00:00.000Z	2025-09-29T00:00:00.000Z	2026-07-22T15:58:22.000Z		DIGI Spain Telecom, S.L.U.	B84919760			FACTURA RECIBIDA	6,03	1,26	0,00	0,00	0,00	0,00	0,00	0,00					7,29
Espais De Dunes Sl		DGFCJ2500535450	2025-08-22T00:00:00.000Z	2025-08-28T00:00:00.000Z	2026-07-22T15:58:31.000Z		DIGI Spain Telecom, S.L.U.	B84919760			FACTURA RECIBIDA	5,87	1,23	0,00	0,00	0,00	0,00	0,00	0,00					7,10
ESPAIS DE DUNES S.L.		0A 250201	2025-08-11T00:00:00.000Z	2025-08-11T00:00:00.000Z	2026-07-22T15:58:40.000Z		DISTRIBUCIONES BOLLFROST, S.L.	B97134852			FACTURA RECIBIDA	12,54	2,63	0,00	0,00	0,00	0,00	0,00	0,00					15,17
ESPAIS DE DUNES S.L.		OA 250202	2025-08-11T00:00:00.000Z	2025-08-11T00:00:00.000Z	2026-07-22T15:58:30.000Z		DISTRIBUCIONES BOLLFROST, S.L.	B97134852			FACTURA RECIBIDA	12,54	2,63	0,00	0,00	0,00	0,00	0,00	0,00					15,17
ESPAI DE DUES S.L		A-5710	2025-08-05T00:00:00.000Z	2025-08-05T00:00:00.000Z	2026-07-22T15:58:23.000Z		TODOSALADO MADESA, S.L.U.	B98985146			FACTURA RECIBIDA	0,00	0,00	139,41	13,94	0,00	0,00	0,00	0,00					153,35
ESPAI DE DUES S.L.		A-5711	2025-08-05T00:00:00.000Z	2025-08-05T00:00:00.000Z	2026-07-22T15:58:59.000Z		TODOSALADO MADESA, S.L.U.	B98985146			FACTURA RECIBIDA	0,00	0,00	240,95	24,10	0,00	0,00	0,00	0,00					265,05
ESPAI DE DUES S.L		A-5709	2025-08-05T00:00:00.000Z	2025-08-05T00:00:00.000Z	2026-07-22T15:58:28.000Z		TODOSALADO MADESA, S.L.U.	B98985146			FACTURA RECIBIDA	0,00	0,00	224,64	22,46	0,00	0,00	0,00	0,00					247,10
ESPAI DE DUES S.L.		A-5712	2025-08-05T00:00:00.000Z	2025-08-05T00:00:00.000Z	2026-07-22T15:58:35.000Z		TODOSALADO MADESA, S.L.U.	B98985146			FACTURA RECIBIDA	0,00	0,00	142,59	14,26	0,00	0,00	0,00	0,00					156,85
ESPAIS DE DUNES SL		2206259563	2025-07-31T00:00:00.000Z	2025-08-10T00:00:00.000Z	2026-07-22T15:58:41.000Z		Qualianza Servicios Integrales de Distribución, S.L.U.	B09547167			FACTURA RECIBIDA	0,00	0,00	2116,80	211,68	0,00	0,00	0,00	0,00					2328,48
ESPAIS DE DUNES S.L.		V7 250691	2025-07-31T00:00:00.000Z	2025-07-31T00:00:00.000Z	2026-07-22T15:58:43.000Z		DISTRIBUCIONES BOLLFROST, S.L.	B97134852			FACTURA RECIBIDA	0,00	0,00	165,45	16,55	0,00	0,00	0,00	0,00					182,00
