Empresa Factura	Empresa (Sistema)	Nº Factura	Fecha Contable	Fecha Vencimiento	Fecha de Carga	Trimestre	Proveedor	CIF	Concepto	Incidencias	Tipo Documento	Base 21%	IVA 21%	Base 10%	IVA 10%	Base 4%	IVA 4%	Base 0%	IVA 0%	Retención	R. Equiv.	Total Base	IVA	Total	Archivo_origen
ESPAI DE DUES / ESPAIS DE DUNES S.L.		2025B000001161	31/07/2025						7 págs		FACTURA RECIBIDA													1.410,41	1161.pdf
ESPAI DE DUES / ESPAIS DE DUNES S.L.		2025B000001162	31/07/2025						6 págs		FACTURA RECIBIDA													1.066,50	1162.pdf
ESPAI DE DUES / ESPAIS DE DUNES S.L.		22652549	05/07/2025	05/07/2025			EUROPASTRY		2 págs		FACTURA RECIBIDA														22652549.PDF
ESPAI DE DUES / ESPAIS DE DUNES S.L.		22669705	11/07/2025	11/07/2025			EUROPASTRY		2 págs		FACTURA RECIBIDA														22669705.PDF
ESPAI DE DUES / ESPAIS DE DUNES S.L.		22694890	19/07/2025	19/07/2025			EUROPASTRY		2 págs		FACTURA RECIBIDA														22694890.PDF
ESPAI DE DUES / ESPAIS DE DUNES S.L.		(MULTI Musgrave ESPAI DE DUNES)	18/07/2025				MUSGRAVE ESPAÑA S.A.U. / CASH	A80837941	PDF multipágina/multi-factura — contrastar hijos Musgrave; PDF grande 2479KB; 4 págs		FACTURA RECIBIDA														ESPAI DE DUNES 18072025_20250718_0001.pdf
ESPAI DE DUES / ESPAIS DE DUNES S.L.		(MULTI Musgrave espais.pdf)	20/06/2025	27/06/2025			MUSGRAVE ESPAÑA S.A.U. / CASH	A80837941	PDF multipágina/multi-factura — contrastar hijos Musgrave; PDF grande 8915KB; 14 págs		FACTURA RECIBIDA														espais.pdf
ESPAI DE DUES / ESPAIS DE DUNES S.L.		0A 250201	11/08/2025				DISTRIBUCIONES BOLLFROST, S.L.	B97134852	2 págs		FACTURA RECIBIDA														FA0A250201.pdf
ESPAI DE DUES / ESPAIS DE DUNES S.L.		OA 250202	11/08/2025				DISTRIBUCIONES BOLLFROST, S.L.	B97134852	2 págs		FACTURA RECIBIDA														FA0A250202.pdf
ESPAI DE DUES / ESPAIS DE DUNES S.L.		5310812027	04/07/2025				CAMPOFRIO FOOD GROUP, S.A.U.		2 págs		FACTURA RECIBIDA														Factura 5310812027.PDF
ESPAI DE DUES / ESPAIS DE DUNES S.L.		5310817285	08/07/2025				CAMPOFRIO FOOD GROUP, S.A.U.		2 págs		FACTURA RECIBIDA														Factura 5310817285.PDF
ESPAI DE DUES / ESPAIS DE DUNES S.L.		5310822471	09/07/2025				CAMPOFRIO FOOD GROUP, S.A.U.		2 págs		FACTURA RECIBIDA														Factura 5310822471.PDF
ESPAI DE DUES / ESPAIS DE DUNES S.L.		5310838853	17/07/2025				CAMPOFRIO FOOD GROUP, S.A.U.		2 págs		FACTURA RECIBIDA														Factura 5310838853.PDF
ESPAI DE DUES / ESPAIS DE DUNES S.L.		5310850624	23/07/2025				CAMPOFRIO FOOD GROUP, S.A.U.		2 págs		FACTURA RECIBIDA														Factura 5310850624.PDF
ESPAI DE DUES / ESPAIS DE DUNES S.L.		5410752373	23/07/2025				CAMPOFRIO FOOD GROUP, S.A.U.		2 págs		FACTURA RECIBIDA														Factura 5410752373.PDF
ESPAI DE DUES / ESPAIS DE DUNES S.L.		D/19373	05/07/2025				Productos Florida, S.A.	A12012423	2 págs		FACTURA RECIBIDA													32,87	Factura-D19373-2025.pdf
ESPAI DE DUES / ESPAIS DE DUNES S.L.		D/20024	12/07/2025				Productos Florida, S.A.	A12012423	2 págs		FACTURA RECIBIDA													32,90	Factura-D20024-2025.pdf
ESPAI DE DUES / ESPAIS DE DUNES S.L.		D/20689	19/07/2025				Productos Florida, S.A.	A12012423	2 págs		FACTURA RECIBIDA													37,59	Factura-D20689-2025.pdf
ESPAI DE DUES / ESPAIS DE DUNES S.L.		2206259451	31/07/2025				QUALIANZA S. INT DIST, SLU		2 págs		FACTURA RECIBIDA														Factura2206259451.pdf
ESPAI DE DUES / ESPAIS DE DUNES S.L.		2206259563	31/07/2025				QUALIANZA S. INT DIST, SLU		2 págs		FACTURA RECIBIDA														Factura2206259563.pdf
ESPAI DE DUES / ESPAIS DE DUNES S.L.		A-5078	01/07/2025				TODOSALADO MADESA, S.L.U.	B98985146	4 págs		FACTURA RECIBIDA													594,49	Factura_A5078.pdf
ESPAI DE DUES / ESPAIS DE DUNES S.L.		A-5079	09/07/2025				TODOSALADO MADESA, S.L.U.	B98985146	2 págs		FACTURA RECIBIDA													325,71	Factura_A5079.pdf
ESPAI DE DUES / ESPAIS DE DUNES S.L.		A-5080	09/07/2025				TODOSALADO MADESA, S.L.U.	B98985146	5 págs		FACTURA RECIBIDA													893,60	Factura_A5080.pdf
ESPAI DE DUES / ESPAIS DE DUNES S.L.		A-5081	09/07/2025				TODOSALADO MADESA, S.L.U.	B98985146	3 págs		FACTURA RECIBIDA													561,13	Factura_A5081.pdf
ESPAI DE DUES / ESPAIS DE DUNES S.L.		A-5709	05/08/2025				TODOSALADO MADESA, S.L.U.	B98985146	2 págs		FACTURA RECIBIDA													249,60	Factura_A5709.pdf
ESPAI DE DUES / ESPAIS DE DUNES S.L.		A-5710	05/08/2025				TODOSALADO MADESA, S.L.U.	B98985146	2 págs		FACTURA RECIBIDA													139,41	Factura_A5710.pdf
ESPAI DE DUES / ESPAIS DE DUNES S.L.		A-5711	05/08/2025				TODOSALADO MADESA, S.L.U.	B98985146	3 págs		FACTURA RECIBIDA													267,72	Factura_A5711.pdf
ESPAI DE DUES / ESPAIS DE DUNES S.L.		A-5712	05/08/2025				TODOSALADO MADESA, S.L.U.	B98985146	2 págs		FACTURA RECIBIDA													142,59	Factura_A5712.pdf
