Archivo_Prueba	Nº_en_export_gestor
invoice_190558152.pdf	DGFCJ2500554068
invoice_187436211.pdf	DGFCJ2500535450
FA0A250201.pdf	0A 250201
FA0A250202.pdf	OA 250202
Factura_A5710.pdf	A-5710
Factura_A5711.pdf	A-5711
Factura_A5709.pdf	A-5709
Factura_A5712.pdf	A-5712
Factura2206259563.pdf	2206259563
FAV7250691.pdf	V7 250691
1162.pdf	2025B000001162
1161.pdf	2025B000001161
Factura2206259451.pdf	2206259451
facturacion normal delgacion 1001 - 2511006987.pdf	2511006987
FAV2250601.pdf	V2 250601
Factura 5310850624.PDF	5310850624
invoice_184369684.pdf	DGFCJ2500406210
Factura 5410752373.PDF	5410752373
22694890.PDF	22694890
Factura-D20689-2025.pdf	D/20689
ESPAI DE DUNES 18072025_20250718_0001.pdf	9911360-0003713 (+ otros hijos Musgrave)
Factura 5310838853.PDF	5310838853
Factura-D20024-2025.pdf	D/20024
22669705.PDF	22669705
Factura_A5079.pdf	A-5079
Factura 5310822471.PDF	5310822471
Factura_A5080.pdf	A-5080
Factura_A5081.pdf	A-5081
Factura 5310817285.PDF	5310817285
Factura-D19373-2025.pdf	D/19373
22652549.PDF	22652549
Factura 5310812027.PDF	5310812027
Factura_A5078.pdf	A-5078
espais.pdf	varios 9911360-* (multi Cash Musgrave)
