Archivo	Nº Factura	Fecha Contable	Fecha Vencimiento	Proveedor	CIF Proveedor	Cliente	CIF Cliente	Base	IVA	Total	Notas
1161.pdf	2025B000001161	31/07/2025				ESPAI DE DUES / ESPAIS DE DUNES S.L.	B97376321			1.410,41	7 págs
1162.pdf	2025B000001162	31/07/2025				ESPAI DE DUES / ESPAIS DE DUNES S.L.	B97376321			1.066,50	6 págs
22652549.PDF	22652549	05/07/2025	05/07/2025	EUROPASTRY		ESPAI DE DUES / ESPAIS DE DUNES S.L.	B97376321				2 págs
22669705.PDF	22669705	11/07/2025	11/07/2025	EUROPASTRY		ESPAI DE DUES / ESPAIS DE DUNES S.L.	B97376321				2 págs
22694890.PDF	22694890	19/07/2025	19/07/2025	EUROPASTRY		ESPAI DE DUES / ESPAIS DE DUNES S.L.	B97376321				2 págs
ESPAI DE DUNES 18072025_20250718_0001.pdf	(MULTI Musgrave ESPAI DE DUNES)	18/07/2025		MUSGRAVE ESPAÑA S.A.U. / CASH	A80837941	ESPAI DE DUES / ESPAIS DE DUNES S.L.	B97376321				PDF multipágina/multi-factura — contrastar hijos Musgrave; PDF grande 2479KB; 4 págs
espais.pdf	(MULTI Musgrave espais.pdf)	20/06/2025	27/06/2025	MUSGRAVE ESPAÑA S.A.U. / CASH	A80837941	ESPAI DE DUES / ESPAIS DE DUNES S.L.	B97376321				PDF multipágina/multi-factura — contrastar hijos Musgrave; PDF grande 8915KB; 14 págs
FA0A250201.pdf	0A 250201	11/08/2025		DISTRIBUCIONES BOLLFROST, S.L.	B97134852	ESPAI DE DUES / ESPAIS DE DUNES S.L.	B97376321				2 págs
FA0A250202.pdf	OA 250202	11/08/2025		DISTRIBUCIONES BOLLFROST, S.L.	B97134852	ESPAI DE DUES / ESPAIS DE DUNES S.L.	B97376321				2 págs
Factura 5310812027.PDF	5310812027	04/07/2025		CAMPOFRIO FOOD GROUP, S.A.U.		ESPAI DE DUES / ESPAIS DE DUNES S.L.	B97376321				2 págs
Factura 5310817285.PDF	5310817285	08/07/2025		CAMPOFRIO FOOD GROUP, S.A.U.		ESPAI DE DUES / ESPAIS DE DUNES S.L.	B97376321				2 págs
Factura 5310822471.PDF	5310822471	09/07/2025		CAMPOFRIO FOOD GROUP, S.A.U.		ESPAI DE DUES / ESPAIS DE DUNES S.L.	B97376321				2 págs
Factura 5310838853.PDF	5310838853	17/07/2025		CAMPOFRIO FOOD GROUP, S.A.U.		ESPAI DE DUES / ESPAIS DE DUNES S.L.	B97376321				2 págs
Factura 5310850624.PDF	5310850624	23/07/2025		CAMPOFRIO FOOD GROUP, S.A.U.		ESPAI DE DUES / ESPAIS DE DUNES S.L.	B97376321				2 págs
Factura 5410752373.PDF	5410752373	23/07/2025		CAMPOFRIO FOOD GROUP, S.A.U.		ESPAI DE DUES / ESPAIS DE DUNES S.L.	B97376321				2 págs
Factura-D19373-2025.pdf	D/19373	05/07/2025		Productos Florida, S.A.	A12012423	ESPAI DE DUES / ESPAIS DE DUNES S.L.	B97376321			32,87	2 págs
Factura-D20024-2025.pdf	D/20024	12/07/2025		Productos Florida, S.A.	A12012423	ESPAI DE DUES / ESPAIS DE DUNES S.L.	B97376321			32,90	2 págs
Factura-D20689-2025.pdf	D/20689	19/07/2025		Productos Florida, S.A.	A12012423	ESPAI DE DUES / ESPAIS DE DUNES S.L.	B97376321			37,59	2 págs
Factura2206259451.pdf	2206259451	31/07/2025		QUALIANZA S. INT DIST, SLU		ESPAI DE DUES / ESPAIS DE DUNES S.L.	B97376321				2 págs
Factura2206259563.pdf	2206259563	31/07/2025		QUALIANZA S. INT DIST, SLU		ESPAI DE DUES / ESPAIS DE DUNES S.L.	B97376321				2 págs
Factura_A5078.pdf	A-5078	01/07/2025		TODOSALADO MADESA, S.L.U.	B98985146	ESPAI DE DUES / ESPAIS DE DUNES S.L.	B97376321			594,49	4 págs
Factura_A5079.pdf	A-5079	09/07/2025		TODOSALADO MADESA, S.L.U.	B98985146	ESPAI DE DUES / ESPAIS DE DUNES S.L.	B97376321			325,71	2 págs
Factura_A5080.pdf	A-5080	09/07/2025		TODOSALADO MADESA, S.L.U.	B98985146	ESPAI DE DUES / ESPAIS DE DUNES S.L.	B97376321			893,60	5 págs
Factura_A5081.pdf	A-5081	09/07/2025		TODOSALADO MADESA, S.L.U.	B98985146	ESPAI DE DUES / ESPAIS DE DUNES S.L.	B97376321			561,13	3 págs
Factura_A5709.pdf	A-5709	05/08/2025		TODOSALADO MADESA, S.L.U.	B98985146	ESPAI DE DUES / ESPAIS DE DUNES S.L.	B97376321			249,60	2 págs
Factura_A5710.pdf	A-5710	05/08/2025		TODOSALADO MADESA, S.L.U.	B98985146	ESPAI DE DUES / ESPAIS DE DUNES S.L.	B97376321			139,41	2 págs
Factura_A5711.pdf	A-5711	05/08/2025		TODOSALADO MADESA, S.L.U.	B98985146	ESPAI DE DUES / ESPAIS DE DUNES S.L.	B97376321			267,72	3 págs
Factura_A5712.pdf	A-5712	05/08/2025		TODOSALADO MADESA, S.L.U.	B98985146	ESPAI DE DUES / ESPAIS DE DUNES S.L.	B97376321			142,59	2 págs
facturacion normal delgacion 1001 - 2511006987.pdf	2511006987	31/07/2025		PANAMAR BAKERY GROUP S.L.		ESPAI DE DUES / ESPAIS DE DUNES S.L.	B97376321			0,00	3 págs
FAV2250601.pdf	FAV2250601	31/07/2025		DISTRIBUCIONES BOLLFROST, S.L.	B97134852	ESPAI DE DUES / ESPAIS DE DUNES S.L.	B97376321				3 págs
FAV7250691.pdf	FAV7250691	31/07/2025		DISTRIBUCIONES BOLLFROST, S.L.	B97134852	ESPAI DE DUES / ESPAIS DE DUNES S.L.	B97376321				5 págs
invoice_184369684.pdf	DGFCJ2500406210	23/07/2025	30/07/2025	DIGI Spain Telecom, S.L.U.	B84919760	ESPAI DE DUES / ESPAIS DE DUNES S.L.	B97376321			7,15	3 págs
invoice_187436211.pdf	DGFCJ2500535450	22/08/2025	28/08/2025	DIGI Spain Telecom, S.L.U.	B84919760	ESPAI DE DUES / ESPAIS DE DUNES S.L.	B97376321			7,10	3 págs
invoice_190558152.pdf	DGFCJ2500554068	23/09/2025	29/09/2025	DIGI Spain Telecom, S.L.U.	B84919760	ESPAI DE DUES / ESPAIS DE DUNES S.L.	B97376321			7,29	3 págs
